id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-01-01;35903.90045833
SE;Sudeste/Centro-Oeste;2025-01-02;42515.2345
SE;Sudeste/Centro-Oeste;2025-01-03;44511.483125
SE;Sudeste/Centro-Oeste;2025-01-04;42866.86179167
SE;Sudeste/Centro-Oeste;2025-01-05;39566.96625
SE;Sudeste/Centro-Oeste;2025-01-06;45811.22641667
SE;Sudeste/Centro-Oeste;2025-01-07;46742.8355
SE;Sudeste/Centro-Oeste;2025-01-08;47114.19408333
SE;Sudeste/Centro-Oeste;2025-01-09;46350.036375
SE;Sudeste/Centro-Oeste;2025-01-10;45868.24904167
SE;Sudeste/Centro-Oeste;2025-01-11;43162.15883333
SE;Sudeste/Centro-Oeste;2025-01-12;39757.97575
SE;Sudeste/Centro-Oeste;2025-01-13;45181.728125
SE;Sudeste/Centro-Oeste;2025-01-14;45720.62383333
SE;Sudeste/Centro-Oeste;2025-01-15;46287.59545833
SE;Sudeste/Centro-Oeste;2025-01-16;47722.29633333
SE;Sudeste/Centro-Oeste;2025-01-17;48887.67104167
SE;Sudeste/Centro-Oeste;2025-01-18;46063.66275
SE;Sudeste/Centro-Oeste;2025-01-19;43781.68758333
SE;Sudeste/Centro-Oeste;2025-01-20;50517.57879167
SE;Sudeste/Centro-Oeste;2025-01-21;53362.516375
SE;Sudeste/Centro-Oeste;2025-01-22;54012.871
SE;Sudeste/Centro-Oeste;2025-01-23;52777.585125
SE;Sudeste/Centro-Oeste;2025-01-24;52024.59404167
SE;Sudeste/Centro-Oeste;2025-01-25;48700.13366667
SE;Sudeste/Centro-Oeste;2025-01-26;44930.48495833
SE;Sudeste/Centro-Oeste;2025-01-27;50163.15441667
SE;Sudeste/Centro-Oeste;2025-01-28;50797.05908333
SE;Sudeste/Centro-Oeste;2025-01-29;50758.94829167
SE;Sudeste/Centro-Oeste;2025-01-30;49544.85808333
SE;Sudeste/Centro-Oeste;2025-01-31;47953.30633333
SE;Sudeste/Centro-Oeste;2025-02-01;44315.19225
SE;Sudeste/Centro-Oeste;2025-02-02;41382.597875
SE;Sudeste/Centro-Oeste;2025-02-03;48278.58741667
SE;Sudeste/Centro-Oeste;2025-02-04;49895.70725
SE;Sudeste/Centro-Oeste;2025-02-05;50629.17516667
SE;Sudeste/Centro-Oeste;2025-02-06;51543.79925
SE;Sudeste/Centro-Oeste;2025-02-07;52244.18804167
SE;Sudeste/Centro-Oeste;2025-02-08;47702.07045833
SE;Sudeste/Centro-Oeste;2025-02-09;44421.54570833
SE;Sudeste/Centro-Oeste;2025-02-10;51423.63775
SE;Sudeste/Centro-Oeste;2025-02-11;52443.61104167
SE;Sudeste/Centro-Oeste;2025-02-12;53277.41983333
SE;Sudeste/Centro-Oeste;2025-02-13;53428.73670833
SE;Sudeste/Centro-Oeste;2025-02-14;52974.15508333
SE;Sudeste/Centro-Oeste;2025-02-15;49033.897375
SE;Sudeste/Centro-Oeste;2025-02-16;46368.36079167
SE;Sudeste/Centro-Oeste;2025-02-17;54572.624875
SE;Sudeste/Centro-Oeste;2025-02-18;55584.89670833
SE;Sudeste/Centro-Oeste;2025-02-19;54696.46504167
SE;Sudeste/Centro-Oeste;2025-02-20;55196.378625
SE;Sudeste/Centro-Oeste;2025-02-21;54703.32383333
SE;Sudeste/Centro-Oeste;2025-02-22;49920.81533333
SE;Sudeste/Centro-Oeste;2025-02-23;46244.20245833
SE;Sudeste/Centro-Oeste;2025-02-24;53483.33475
SE;Sudeste/Centro-Oeste;2025-02-25;54124.661125
SE;Sudeste/Centro-Oeste;2025-02-26;54135.93466667
SE;Sudeste/Centro-Oeste;2025-02-27;54235.00870833
SE;Sudeste/Centro-Oeste;2025-02-28;53663.72070833
SE;Sudeste/Centro-Oeste;2025-03-01;48358.65675
SE;Sudeste/Centro-Oeste;2025-03-02;45119.87858333
SE;Sudeste/Centro-Oeste;2025-03-03;47856.34270833
SE;Sudeste/Centro-Oeste;2025-03-04;47364.22766667
SE;Sudeste/Centro-Oeste;2025-03-05;50744.58666667
SE;Sudeste/Centro-Oeste;2025-03-06;52042.31520833
SE;Sudeste/Centro-Oeste;2025-03-07;52164.23575
SE;Sudeste/Centro-Oeste;2025-03-08;48480.89925
SE;Sudeste/Centro-Oeste;2025-03-09;45590.832375
SE;Sudeste/Centro-Oeste;2025-03-10;52586.545625
SE;Sudeste/Centro-Oeste;2025-03-11;53057.79045833
SE;Sudeste/Centro-Oeste;2025-03-12;52207.535
SE;Sudeste/Centro-Oeste;2025-03-13;52614.206
SE;Sudeste/Centro-Oeste;2025-03-14;52025.99679167
SE;Sudeste/Centro-Oeste;2025-03-15;48471.10245833
SE;Sudeste/Centro-Oeste;2025-03-16;44230.10891667
SE;Sudeste/Centro-Oeste;2025-03-17;49762.941875
SE;Sudeste/Centro-Oeste;2025-03-18;50190.14729167
SE;Sudeste/Centro-Oeste;2025-03-19;48664.72195833
SE;Sudeste/Centro-Oeste;2025-03-20;47096.89608333
SE;Sudeste/Centro-Oeste;2025-03-21;47240.64004167
SE;Sudeste/Centro-Oeste;2025-03-22;44389.937125
SE;Sudeste/Centro-Oeste;2025-03-23;42198.81875
SE;Sudeste/Centro-Oeste;2025-03-24;48138.80125
SE;Sudeste/Centro-Oeste;2025-03-25;49075.49004167
SE;Sudeste/Centro-Oeste;2025-03-26;49448.34595833
SE;Sudeste/Centro-Oeste;2025-03-27;48582.57733333
SE;Sudeste/Centro-Oeste;2025-03-28;49341.0985
SE;Sudeste/Centro-Oeste;2025-03-29;46301.18475
SE;Sudeste/Centro-Oeste;2025-03-30;43139.132125
SE;Sudeste/Centro-Oeste;2025-03-31;49690.083375
