"Time","cerveja"
"2025-05-18",40
"2025-05-25",40
"2025-06-01",42
"2025-06-08",41
"2025-06-15",45
"2025-06-22",40
"2025-06-29",40
"2025-07-06",46
"2025-07-13",46
"2025-07-20",49
"2025-07-27",53
"2025-08-03",48
"2025-08-10",47
"2025-08-17",46
"2025-08-24",51
"2025-08-31",49
"2025-09-07",50
"2025-09-14",51
"2025-09-21",48
"2025-09-28",86
"2025-10-05",66
"2025-10-12",56
"2025-10-19",55
"2025-10-26",51
"2025-11-02",52
"2025-11-09",57
"2025-11-16",61
"2025-11-23",56
"2025-11-30",60
"2025-12-07",58
"2025-12-14",63
"2025-12-21",100
"2025-12-28",88
"2026-01-04",57
"2026-01-11",59
"2026-01-18",57
"2026-01-25",54
"2026-02-01",52
"2026-02-08",59
"2026-02-15",60
"2026-02-22",46
"2026-03-01",51
"2026-03-08",47
"2026-03-15",49
"2026-03-22",50
"2026-03-29",54
"2026-04-05",48
"2026-04-12",52
"2026-04-19",57
"2026-04-26",53
"2026-05-03",48
"2026-05-10",46
"2026-05-17",42
